AcctCode;AcctName
000001;Cta pte de reclasificacion Asociadas
101101;CAJA
101102;MERCADERIA ALMACENADA
102101;FONDO FIJO ADMINISTRACIÓN
102102;FONDO FIJO AREQUIPA
102103;FONDO FIJO MILLER
102104;FONDO FIJO CONDESA
102105;FONDO FIJO PROYECTO
102106;FONDO FIJO PIURA
102107;FONDO FIJO GAMBETA
102108;FONDO FIJO MOV SAN BORJA
102109;FONDO FIJO MOV GAMBETA
102110;FONDO FIJO MOV AREQUIPA
102111;FONDO FIJO MOV PIURA
102112;FONDO FIJO VENTANILLA
102113;FONDO FIJO PROYECTO CIANURO
102114;FONDO FIJO MATARANI
102115;FONDO FIJO COMBUSTIBLE AQP
102116;FONDO FIJO COMBUSTIBLE DESAGUADERO
102117;FONDO FIJO MANUCHAR
102118;FONDO FIJO PROTECCION
102119;FONDO FIJO TRUJILLO
103101;EFECTIVO EN TRÁNSITO CUENTAS CORRIENTES
103102;EFECTIVO EN TRÁNSITO POR LETRAS EN SOLES
103103;EFECTIVO EN TRÁNSITO POR LETRAS EN DOLARES
104101;REGULARIZACION DE ANTICIPO
104102;BANCO DE CREDITO CTA CTE MN Nº193-1449962-0-79
104103;BANCO DE CREDITO MIAMI ME 201030008769009
104104;BBVA BANCO CONTINENTAL CTA CTE ME Nº 011-378-0100018515-75
104105;BANCO FINANCIERO CTA CTE ME Nº 000326133429
104106;SCOTIABANK CTA CTE MN 0636126
104107;SCOTIABANK CTA CTE ME 2245474
104108;INTERBANK CTA CTE ME Nº 200-3000340941
104109;BANCO DE CREDITO CTA CTE ME No.193-1451150-1-90
104110;BBVA BANCO CONTINENTAL CTA CTE MN N° 011-378-000100030612-74
104111;BANCO DE CREDITO CTA CTE MN Nº 193-1599515-0-15
104112;BANCO DE CREDITO CTA CTE ME Nº 193-1584685-1-27
104113;SCOTIABANK CTA CTE MN 9312994
104114;SCOTIABANK CTA CTE ME 3987619
104115;BANCO FINANCIERO CTA CTE ME  000535529929
104116;BANCO CONTINENTAL CTA CTE EU 07102013 0011-0378-78-0100045857
104117;BANCO CITIBANK CTA CTE ME N° 0049680115
104118;BANCO GNB CTA CTE ME N°002-155612-301
104119;SCOTIABANK CTA CTE MN 9312994
104120;BANCO SANTANDER CTA CTE ME N° 8077835
104121;ICBC CTA CTE ME Nº 06000101000006546751
104122;BANCO DE CREDITO MIAMI ME 201-03-00-1000678-4
104123;BANCO DE CREDITO MIAMI ME 6000000928
104201;BANCO DE LA NACION CTA DETRACCION Nº 001008161
105101;CERTIFICADOS BANCARIOS
106101;BANCO BIF - CONVENIOS
106201;DEPÓSITOS A PLAZO SOLES
106202;DEPÓSITOS A PLAZO DOLARES
107101;BANCO DE CREDITO CTA CTE GARANTIA ME Nº 193-1543133-1-11
107102;BBVA BANCO CONTINENTAL CTA CTE GARANTIA ME Nº 0100018957
107103;BANCO INTERBANK CTA CTE GARANTIA ME Nº 200-3000374838
107104;BANCO DE CREDITO CTA GARANTIA MN 194-62747150-0-9
